specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref
setigerum,setigerum,"Piaget, 1889:35 ",,Eulaemobothrion,,,,,,
setigerum africanum,vulturis,,,,,,setigerum africanum,"Kellogg, 1910a:49 ",,
siddiqii,maximum,,,,siddiqii,"Nelson & Price, 1965:254",,,,
simile,simile,"Kellogg, 1896a:153 ",,Eulaemobothrion,,,,,,
tinnunculi,tinnunculi,"L., 1758:612",Pediculus,Laemobothrion,,,,,,
titan,maximum,,,,titan,"Nelson & Price, 1965:253",,,,
tuleschkovi,maximum,,,,tuleschkovi,"Nelson & Price, 1965:254",,,,
validum,vulturis,,,,validum,"Nelson & Price, 1965:255",,,,
vulturis,vulturis,"Fabricius [J.C.], 1775:806",Pediculus,Laemobothrion,,,,,,
vulturis daneckii,vulturis,,,,,,vulturis daneckii,"Z{l-}otorzycka, 1969:125 ",,
abbotti,piceus lari,,Colpocephalum,,abbotti,"Hopkins & Clay, 1952:20",,,,
affinis,totani,,Colpocephalum,,affinis,"Nitzsch [In Giebel], 1874:276) ",,,,
albus,umbrinus,,,,albus,"Emerson, 1972b:22",,,,
ardeolae,ardeolae,"Timmer., 1954c:837",,,,,,,,
bicolor,bicolor,"Piaget, 1880:561",Colpocephalum,,,,,,,
brachycephalus,unidentifiable,,Colpocephalum,,brachycephalus,"Clay, 1962a:242",,,,
canuti,canuti,"Price & Leibovitz, 1969:997",,,,,,,,
ceruleus,ceruleus,"Timmer., 1954c:830",Clypeodon,,,,,,,
cornutus,pustulosus,,Colpocephalum,,cornutus,"Hopkins & Clay, 1952:21",,,,
crassipes,piceus,,Colpocephalum,,crassipes,,,,,
piceus,piceus,"REF: Emerson, 1972b:21",,,,,,,,
crinitus,crinitus,"Clay, 1962a:205",,,,,,,,
epiphanes,incisus,,Colpocephalum,,epiphanes,"Emerson, 1972b:17",,,,
erinaceus,erinaceus,"Timmer., 1954c:835",,,,,,,,
flavipes,ochraceus,,Colpocephalum,,flavipes,"Emerson, 1972b:19",,,,
flumineus,flumineus,"Clay, 1962a:217",,,,,,,,
fumidus,piceus,,Colpocephalum,,fumidus,,,,,
lari,lari,"REF: Hopkins & Clay, 1952:21",,,,,,,,
funebris,piceus,,Colpocephalum,,funebris,,,,,
lari,lari,"REF: Emerson, 1972b:20",,,,,,,,
funebris candidus,piceus piceus,,,,,,funebris candidus,"Carriker, 1949b:17 ",,
fuscipes,piceus lari,,Colpocephalum,,fuscipes,"Emerson, 1972b:20",,,,
gracilis,gracilis,"Piaget, 1880:555",Colpocephalum,,,,,,,
grandiceps,grandiceps,"Piaget, 1880:558",Colpocephalum,,,,,,,
