specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref
scleroptilus,scleroptilus,"Bedford, 1929:520",,,,,,,,
sectus,sectus,"Kellogg & Paine, 1914:224",,,,,,,,
securiger,securiger,"Nitzsch [In Giebel], 1866:387",,,,,,,,
simoni,merriamanus,,,,simoni,"Emerson, 1972a:76",,,,
sinensis,sinensis,"Emerson & Stojanovich, 1964:256",,,,,,,,
soueefi,soueefi,"Clay, 1940a:100",,,,,,,,
spinicornis,spinicornis,"Nitzsch [In Giebel], 1866:389",Goniocotes,,,,,,,
spinicornis blythi,spinicornis,,,,,,spinicornis blythi,"Eichler, 1950e:4 ",,
squamatus,squamatus,"Emerson, 1950b:122",,,,,,,,
stefani,stefani,"Clay & Hopkins, 1955:57",,,,,,,,
submamillatus,submamillatus,"Emerson, 1950b:121",,,,,,,,
talegallae,talegallae,"Tendeiro, 1983c:119",Aurinirmus,,,,,,,
temporalis,temporalis,"Kéler, 1939b:131",Stenocrotaphus,,,,,,,
tetragonocephalus,pavonis,,Nirmus,,tetragonocephalus,"Hopkins & Clay, 1952:158",,,,
tetraogallae,costatus,,,,tetraogallae,"Hopkins & Clay, 1952:158",,,,
tetraonis,tetraonis,,,,tetraonis,"Hopkins & Clay, 1952:159",,,,
tetraonis,tetraonis,"L., 1761:478",Pediculus,,,,,,,
tetraophasis,tetraophasis,"Chou & Liu, 1986:317",,,,,,,,
tibetanus,tibetanus,"Eichler, 1950e:7",Gonocephalus,,,,,,,
tragopan,tragopan,"Clay, 1940a:13",,,,,,,,
truncatus,dispar,,,,truncatus,"Hopkins & Clay, 1952:159",,,,
wilsoni,wilsoni,"Clay, 1938a:5",,,,,,,,
zairensis,zairensis,"Tendeiro, 1988a:25",Stenocrotaphus,,,,,,,
antarcticus,grandis,,Perineus,,antarcticus,"Emerson, 1972a:78",,,,
grandis,grandis,"Piaget, 1880:323",Lipeurus,,,,,,,
laculatus,grandis,,Lipeurus,,laculatus,"Emerson, 1972a:78",,,,
piratae,grandis,,Perineus,,piratae,"Emerson, 1972a:78",,,,
abnormis,abnormis,"Piaget, 1885:65",Lipeurus,Halipeurus,,,,,,
accentor,leucophryna,,,,accentor,"Emerson, 1972a:80",,,,
angusticeps angusticeps,,,Lipeurus,Halipeurus,,,,,angusticeps angusticeps,"Piaget, 1880:306"
angusticeps fosteri,,,,Halipeurus,,,,,angusticeps fosteri,"Edwards, 1961:137 "
attenuatus,attenuatus,"Edwards, 1961:148 ",,Halipeurus,,,,,,
bulweriae,bulweriae,,,,bulweriae,"Timmer., 1965:149",,,,
bulweriae,bulweriae,"Timmer., 1960:328 ",,Halipeurus,,,,,,
consimilis,consimilis,"Timmer., 1960:326 ",,Halipeurus,,,,,,
constrictiventris,diversus,,Esthiopterum,,constrictiventris,"Hopkins & Clay, 1952:163",,,,
diversus,diversus,"Kellogg, 1896a:123",Lipeurus,Halipeurus,,,,,,
diversus excavatus,kermadecensis,,Lipeurus,,,,diversus excavatus,"Johnston & Harrison, 1912c:366",,
diversus major,noctivagus,,Lipeurus,,,,diversus major,"Kellogg & Kuwana, 1902:477",,
exiguus,pelagicus,,Lipeurus,,exiguus,"Hopkins & Clay, 1952:164",,,,
fallacis,fallacis,"Timmer., 1960:328 ",,Halipeurus,,,,,,
falsus falsus,,,,Halipeurus,,,,,falsus falsus,"Eichler, 1949c:338 "
falsus pacificus,,,,Halipeurus,,,,,falsus pacificus,"Edwards, 1961:147 "
forficulatus,forficulatus,"Edwards, 1961:144 ",,Halipeurus,,,,,,
gravis,gravis,"Timmer., 1961a:405 ",,Halipeurus,,,,,,
hanaki,diversus,,,,hanaki,"Emerson, 1972a:80",,,,
heraldicus,heraldicus,"Timmer., 1960:331 ",,Halipeurus,,,,,,
intermedius,noctivagus,,,,intermedius,"Timmer., 1965:151",,,,
intestatus,spadix,,,,intestatus,"Timmer., 1965:142",,,,
kermadecensis,kermadecensis,"Johnston & Harrison, 1912c:365",Lipeurus,Halipeurus,,,,,,
languidus,pelagicus,,Lipeurus,,languidus,"Edwards, 1961:155",,,,
leucophryna,leucophryna,"Timmer., 1960:327 ",,Halipeurus,,,,,,
limitatus,diversus,,Lipeurus,,limitatus,"Hopkins & Clay, 1952:164",,,,
marquesanus,marquesanus,"Ferris, 1932:62",Esthiopterum,Halipeurus,,,,,,
micariproctus,priapulus,,,,micariproctus,"Emerson, 1972a:81",,,,
mirabilis,mirabilis,"Thompson, 1940a:499 ",,Halipeurus,,,,,,
mundae,mundae,"Edwards, 1961:149 ",,Halipeurus,,,,,,
nesofregettae,nesofregettae,,,,nesofregettae,"Timmer., 1965:153",,,,
nesofregettae,nesofregettae,"Timmer., 1961a:417 ",,Synnautes,,,,,,
nigricans,procellariae,,Lipeurus,,nigricans,,,,,
noctivagus,noctivagus,"Timmer., 1960:331 ",,Halipeurus,,,,,,
pelagicus,pelagicus,"Denny, 1842:58",Lipeurus,Synnautes,,,,,,
placodus,placodus,"Edwards, 1961:141 ",,Halipeurus,,,,,,
postmarquesanus,heraldicus,,,,postmarquesanus,"Timmer., 1965:152",,,,
priapulus,priapulus,"Timmer., 1961a:406 ",,Halipeurus,,,,,,
procellariae,pelagicus,,Lipeurus,,procellariae,"Hopkins & Clay, 1952:164",,,,
procellariae,procellariae,"Fabricius [J.C.], 1775:808",Pediculus,Halipeurus,,,,,,
raphanus,raphanus,"Timmer., 1961a:415 ",,Anamias,,,,,,
sawadai,sawadai,"Nakagawa, 1959b:384 ",,Halipeurus,,,,,,
spadix,spadix,"Timmer., 1961a:409 ",,Halipeurus,,,,,,
subangusticeps,pelagicus,,Lipeurus,,subangusticeps,"Edwards, 1961:155",,,,
subclavus,subclavus,"Timmer., 1961a:411 ",,Halipeurus,,,,,,
taxosetus,spadix,,,,taxosetus,"Timmer., 1965:142",,,,
theresae,theresae,"Timmer., 1969a:249 ",,Halipeurus,,,,,,
thompsoni,thompsoni,"Edwards, 1961:147 ",,Halipeurus,,,,,,
turtur,turtur,"Edwards, 1961:149 ",,Halipeurus,,,,,,
chilensis,ferox,,,,chilensis,"Palma & Pilgrim, 1984:150",,,,
copei,copei,"Timmer., 1969a:247",,,,,,,,
densa,densa,"Kellogg, 1896a:114",Lipeurus,,,,,,,
ferox,ferox,"Giebel, 1867a:196",Lipeurus,,,,,,,
hopkinsi,hopkinsi,"Eichler, 1952e:40",,,,,,,,
irroratae,ferox,,Diomedicola,,irroratae,"Palma & Pilgrim, 1984:149",,,,
thompsoni,hopkinsi,,,,thompsoni,"Palma & Pilgrim, 1984:156",,,,
acutiventris,acutiventris,"Clay, 1937:135",,,,,,,,
alatofasciatus,rotundatus,,Goniocotes,,alatofasciatus,"Hopkins & Clay, 1952:167",,,,
albigularis,albigularis,"Carriker, 1955d:120",,,,,,,,
andinae,andinae,"Carriker, 1944a:173",Rhynchothura,,,,,,,
benii,benii,"Carriker, 1944a:155",,,,,,,,
bolivianus,bolivianus,"Carriker, 1944a:167",Rhynchothura,,,,,,,
boliviensis,boliviensis,"Carriker, 1944a:161",,,,,,,,
boraquirae,boraquirae,"Clay, 1943:378",,,,,,,,
boultoni,boultoni,"Clay, 1943:380",,,,,,,,
brasiliensis,brasiliensis,"Carriker, 1955d:127",,,,,,,,
brevicapitis,pentlandi,,Rhynchothura,,brevicapitis,,,,,
callaoi,callaoi,"Carriker, 1963c:39",,,,,,,,
carrikeri,carrikeri,"Clay, 1937:145",Rhynchothura,,,,,,,
chacoensis,chacoensis,"Carriker, 1944a:171",Rhynchothura,,,,,,,
chinirii,chinirii,"Carriker, 1936:120",,,,,,,,
costaricensis,costaricensis,"Carriker, 1944a:182",Heptarthrogaster,,,,,,,
crenulatus,crenulatus,"Carriker, 1936:128",Rhynchothura,,,,,,,
crucis,crucis,"Carriker, 1944a:148",,,,,,,,
dilatatus,dilatatus,"Rudow, 1870b:479",Goniocotes,,,,,,,
favus,favus,"Carriker, 1955d:116",,,,,,,,
femininus,femininus,"Carriker, 1936:120",,,,,,,,
frielingi,frielingi,"Eichler, 1941b:371",Tinamicola,,,,,,,
garleppi,garleppi,"Carriker, 1944a:145",,,,,,,,
grandis,grandis,"Carriker, 1936:136",Heptarthrogaster,,,,,,,
heterurus,testudo,,Rhynchothura,,heterurus,"Ward, 1957:349",,,,
idoneus,idoneus,"Carriker, 1944a:149",,,,,,,,
inexpectatus,inexpectatus,"Eichler, 1942e:30",Heinrothiella,,,,,,,
inexpectatus inexpectatus,insperatus,,,,,,inexpectatus inexpectatus,"Carriker, 1944a:151 ",,
inexpectatus potosii,tuxtlae,,,,,,inexpectatus potosii,"Carriker, 1954c:205 ",,
insperatus,insperatus,"Hopkins, 1950:240",,,,,,,,
julius,julius,"Carriker, 1955d:129",,,,,,,,
keleri,keleri,"Guimarães, 1942a:25",Heptarthrogaster,,,,,,,
latacephalus,latacephalus,"Carriker, 1944a:180",Heptarthrogaster,,,,,,,
latithorax,latithorax,"Carriker, 1936:159",Tinamicola,,,,,,,
lunulatus,lunulatus,"Carriker, 1936:130",Rhynchothura,,,,,,,
magdalenae,magdalenae,"Carriker, 1944a:156",,,,,,,,
mandibularis,mandibularis,"Carriker, 1936:116",,,,,,,,
mandibularis cinnamomeus,modestae,,,,,,mandibularis cinnamomeus,"Carriker, 1954c:204 ",,
mandibularis clayae,noctivagi,,,,,,mandibularis clayae,"Carriker, 1955d:123 ",,
minor,minor,"Hopkins, 1950:241",,,,,,,,
minutus,minor,,Rhynchothura,,minutus,"Hopkins & Clay, 1952:169",,,,
minutus,minutus,"Carriker, 1903:155",Goniodes,,,,,,,
minutus mexicanus,minutus,,Heptarthrogaster,,,,minutus mexicanus,"Carriker, 1944a:177",,
modestae,modestae,"Carriker, 1944a:141",,,,,,,,
motilonensis,motilonensis,"Carriker, 1944a:151",,,,,,,,
nigriceps,nigriceps,"Carriker, 1944a:147",,,,,,,,
noctivagi,noctivagi,"Clay, 1937:138",,,,,,,,
nothocercae,nothocercae,"Carriker, 1944a:161",,,,,,,,
odontophorae,odontophorae,"Carriker, 1961c:383",Heptarthrogaster,,,,,,,
oliverioi,oliverioi,"Guimarães & Lane, 1937:10",Heptarthrogaster,,,,,,,
parvulus,parvulus,"Taschenberg, 1882:38",Goniodes,,,,,,,
pentlandi,pentlandi,"Carriker, 1944a:166",,,,,,,,
rotundatus,rotundatus,"Rudow, 1869b:22",Goniocotes,,,,,,,
sexpunctatus,sexpunctatus,"Piaget, 1885:51",Goniodes,,,,,,,
sexsetosus,sexsetosus,"Piaget, 1885:48",Goniocotes,,,,,,,
sexsetosus secundus,sexsetosus,,Docophorocotes,,,,sexsetosus secundus,"Carriker, 1944a:206",,
sinuensis,sinuensis,"Carriker, 1955d:125",,,,,,,,
stultus,stultus,"Clay, 1937:136",,,,,,,,
subdilatatus,subdilatatus,"Piaget, 1880:257",Goniodes,,,,,,,
subminutus,subminutus,"Carriker, 1961c:378",Rhynchothura,,,,,,,
subteres,subteres,"Carriker, 1944a:169",Rhynchothura,,,,,,,
tapicollae,tapicollae,"Carriker, 1944a:143",,,,,,,,
temporalis,temporalis,"Carriker, 1936:118",,,,,,,,
temporalis boucardi,acutiventris,,,,,,temporalis boucardi,"Carriker, 1944a:159 ",,
teres,teres,"Clay, 1937:143",Rhynchothura,,,,,,,
tesselatus,tesselatus,"Carriker, 1936:124",,,,,,,,
tesselatus ecuadoranus,tesselatus,,Rhynchothura,,,,tesselatus ecuadoranus,"Carriker, 1961b:334",,
tesselatus ornatus,truncatus,,,,,,tesselatus ornatus,"Carriker, 1944a:164 ",,
testudo,testudo,"Clay, 1937:140",,,,,,,,
truncatus,truncatus,"Carriker, 1936:125",,,,,,,,
tuxtlae,tuxtlae,"Carriker, 1944a:153",,,,,,,,
undulatus,undulatus,"Carriker, 1944a:155",,,,,,,,
yapurae,yapurae,"Carriker, 1944a:147",,,,,,,,
clavigera,clavigera,"Tendeiro, 1961d:232",,,,,,,,
haydocki,haydocki,"Tendeiro, 1957:241",,,,,,,,
hopkinsi,hopkinsi,"Clay & Meinertzhagen, 1939b:166",,,,,,,,
acutulus,acutulus,"Neumann, 1922:222",Philopterus,,,,,,,
ajajus,iberoamericanus,,,,ajajus,"Hopkins & Clay, 1952:176",,,,
australis,australis,"Kumar & Tandan, 1966:574",,,,,,,,
bimaculatus,bimaculatus,"Mjöberg, 1910b:125",Docophorus,,,,,,,
bisignatus,bisignatus,"Nitzsch [In Giebel], 1866:362",Docophorus,,,,,,,
bisignatus,longiclypeatus,,Docophorus,,bisignatus,"Hopkins & Clay, 1952:176",,,,
breviloratus,unidentifiable,,Docophorus,,breviloratus,"Nitzsch [In Giebel], 1866:361) ",,,,
clausus,clausus,"Giebel, 1874:107",Docophorus,,,,,,,
clayae,clayae,"Kumar, 1965:391",,,,,,,,
dennelli,dennelli,"Tandan, 1958b:395",,,,,,,,
dianae,dianae,"Tandan, 1958a:151",,,,,,,,
fissisignatus,fissisignatus,"Kellogg & Paine, 1911a:19",Docophorus,,,,,,,
flavus,flavus,"Cummings, 1916b:665",,,,,,,,
heterogenitalis,heterogenitalis,"Carriker, 1947a:128",,,,,,,,
hians,hians,"Giebel, 1874:107",Docophorus,,,,,,,
iberoamericanus,iberoamericanus,"Eichler, 1943d:5",,,,,,,,
insularis,insularis,"Clay, 1976a:3",,,,,,,,
longiclypeatus,longiclypeatus,"Piaget, 1885:12",Docophorus,,,,,,,
meinertzhageni,meinertzhageni,"Kumar & Tandan, 1966:571",,,,,,,,
phimosus,phimosus,"Carriker, 1947a:124",,,,,,,,
piageti,longiclypeatus,,Docophorus,,piageti,"Hopkins & Clay, 1952:177",,,,
plataleae,plataleae,"Denny, 1842:46",Docophorus,,,,,,,
plegadii,plegadii,"Carriker, 1947a:126",,,,,,,,
robustus,clausus,,,,robustus,"Tandan, 1958b:403",,,,
scolopaceus,scolopaceus,"Carriker, 1947a:131",,,,,,,,
scolopaceus caraui,scolopaceus,,,,,,scolopaceus caraui,"Carriker, 1947a:133 ",,
sphenophorus,plataleae,,Docophorus,,sphenophorus,"Nitzsch [In Giebel], 1866:361) ",,,,
tandani,tandani,"Clay, 1976a:1",,,,,,,,
threskiornis,threskiornis,"Bedford, 1929:526",,,,,,,,
vicinus,vicinus,"Neumann, 1922:222",Philopterus,,,,,,,
armillatus,armillatus,"Castro & Cicchino, 1983:274",,,,,,,,
curvitrabeculatus,curvitrabeculatus,"Blagov., 1940:50",,,,,,,,
dissimilis,dissimilis,"Cicchino & Emerson, 1983:157",,,,,,,,
emersoni,emersoni,"Castro & Cicchino, 1983:276",,,,,,,,
flavopunctatus,flavopunctatus,"Rudow, 1870b:458",Docophorus,,,,,,,
fulicae,fulicae,"L., 1758:613",Pediculus,,,,,,,
gallinulae,gallinulae,"Blagov., 1951:293",,,,,,,,
leucopterae,leucopterae,"Cicchino & Emerson, 1983:158",,,,,,,,
monachus,monachus,"Kellogg & Paine, 1911b:75",Docophorus,,,,,,,
pertusus,fulicae,,Docophorus,,pertusus,"Hopkins & Clay, 1952:178",,,,
porzanae,porzanae,"Blagov., 1951:294",,,,,,,,
ralli,ralli,,Docophorus,,ralli,"Hopkins & Clay, 1952:178",,,,
ralli,ralli,"Scopoli, 1772:125",Pediculus,,,,,,,
transpositus,transpositus,"Kellogg, 1896b:478",Docophorus,,,,,,,
agonus,agonus,"Nitzsch [In Giebel], 1874:190",Goniocotes,,,,,,,
boucardi,boucardi,"Carriker, 1944a:226",Hypocrypturellus,,,,,,,
brevipes,brevipes,"Carriker, 1903:154",,,,,,,,
brevipes chocoensis,latithorax,,,,,,brevipes chocoensis,"Carriker, 1944a:222 ",,
brevipes ruficeps,brevipes,,,,,,brevipes ruficeps,"Carriker, 1944a:223 ",,
brevipes serrati,brevipes,,,,,,brevipes serrati,"Guimarães, 1942a:22 ",,
brevipes taoi,latithorax,,,,,,brevipes taoi,"Carriker, 1944a:221 ",,
brevipes venezolensis,latithorax,,,,,,brevipes venezolensis,"Carriker, 1958a:175 ",,
caquetae,caquetae,"Carriker, 1962:440",Austrokelloggia,,,,,,,
chocoanus,chocoanus,"Carriker, 1962:443",Austrokelloggia,,,,,,,
clayae,clayae,"Guimarães & Lane, 1937:7",Heptagoniodes,,,,,,,
colombianus,colombianus,"Carriker, 1962:434",Austrokelloggia,,,,,,,
coniceps,coniceps,"Taschenberg, 1882:63",Strongylocotes,,,,,,,
coniceps cinnamomeus,boucardi,,Austrokelloggia,,,,coniceps cinnamomeus,"Carriker, 1954c:207",,
dimorphus,dimorphus,"Carriker, 1944a:210",Heptagoniodes,,,,,,,
excavatus,agonus,,Goniodes,,excavatus,"Hopkins & Clay, 1952:179",,,,
genitalis,genitalis,"Carriker, 1936:181",Hypocryptus,,,,,,,
heterurus,heterurus,"Carriker, 1936:179",Hypocryptus,,,,,,,
idoneus,idoneus,"Carriker, 1944a:226",Hypocrypturellus,,,,,,,
inconspicuus,inconspicuus,"Carriker, 1936:180",Hypocryptus,,,,,,,
intermedius,intermedius,"Carriker, 1936:176",Austrokelloggia,,,,,,,
latifrons,latifrons,"Guimarães, 1953:236",Hypocrypturellus,,,,,,,
latithorax,latithorax,"Carriker, 1936:174",,,,,,,,
mendax,mendax,"Guimarães & Hopkins, 1949:76",Hypocrypturellus,,,,,,,
mexicanus,mexicanus,"Carriker, 1944a:218",,,,,,,,
mirabilis,mirabilis,"Carriker, 1936:167",Heptagoniodes,,,,,,,
nigriceps,nigriceps,"Carriker, 1936:180",Hypocryptus,,,,,,,
obsoletus,obsoletus,"Carriker, 1936:181",Hypocryptus,,,,,,,
ribeiroi,ribeiroi,"Guimarães, 1953:239",Hypocrypturellus,,,,,,,
romainei,romainei,"Carriker, 1962:442",Austrokelloggia,,,,,,,
strigulosus,strigulosus,"Guimarães, 1953:236",Hypocrypturellus,,,,,,,
undulatus,undulatus,"Carriker, 1936:180",Hypocryptus,,,,,,,
bradicephalum,bradicephalum,"Tendeiro, 1969h:552",,,,,,,,
latum,latum,"Piaget, 1880:672",Goniocotes,,,,,,,
latum major,latum,,Goniocotes,,,,latum major,"Neumann, 1890:64",,
suborbiculatum,suborbiculatum,"Piaget, 1890a:237",Goniodes,,,,,,,
guttatus,guttatus,"Taschenberg, 1882:89",Goniocotes,,,,,,,
kourii,kourii,"Tendeiro, 1975:57",,,,,,,,
affinis,affinis,"Children, 1836:537",Nirmus,,,,,,,
brionica,colchicus,,Degeeriella,,brionica,"Emerson, 1972a:89",,,,
caementicius,unidentifiable,,Nirmus,,caementicius,"Nitzsch [In Giebel], 1874:154) ",,,,
californicus,californicus,"Kellogg & Chapman, 1899:103",Lipeurus,,,,,,,
cameratus,lyrurus,,Nirmus,,cameratus,"Hopkins & Clay, 1952:187",,,,
cameratus nigrescens,affinis,,Nirmus,,,,cameratus nigrescens,"Evans, 1912b:280",,
choui,choui,"Liu, 1989b:266",,,,,,,,
colchicus,colchicus,"Emerson, 1949a:78",,,,,,,,
crossoptiloni,crossoptiloni,"Liu, 1989b:263",,,,,,,,
gambelii,gambelii,"Emerson, 1949a:75",,,,,,,,
gibsoni,gibsoni,"Hopkins, 1947a:172",,,,,,,,
heterotypus,heterotypus,"Mégnin, 1880:87",Nirmus,,,,,,,
irinae,irinae,"Eichler & Vasjukova, 1981b:233",,,,,,,,
kozuii,kozuii,"Sugimoto, 1934a:456",Philopterus,,,,,,,
lophophori,lophophori,"Liu, 1989b:261",,,,,,,,
lyrurus,lyrurus,"Clay, 1938b:188",,,,,,,,
meinertzhageni,meinertzhageni,"Clay, 1938b:195",,,,,,,,
nirmoides,heterotypus,,Goniocotes,,nirmoides,"Hopkins & Clay, 1952:187",,,,
obscurus,obscurus,"Emerson, 1948b:137",,,,,,,,
ovatus,ovatus,"Uchida, 1917a:174",Nirmus,,,,,,,
pallidovittatus,pallidovittatus,"Grube, 1851:474",Nirmus,,,,,,,
perplexus,perplexus,"Kellogg & Chapman, 1899:103",Lipeurus,,,,,,,
protervus,affinis,,Lipeurus,,protervus,"Hopkins & Clay, 1952:188",,,,
quadrulatus,pallidovittatus,,Nirmus,,quadrulatus,"Nitzsch [In Giebel], 1866:370) ",,,,
sinensis,sinensis,"Sugimoto, 1930:130",Degeeriella,,,,,,,
tetrastei,tetrastei,"Bechet, 1963b:259",,,,,,,,
tragopani,tragopani,"Liu, 1989b:264",,,,,,,,
umbellus,umbellus,"Emerson, 1950a:101",,,,,,,,
waterstoni,waterstoni,"Bedford, 1930:165",Lipeurus,,,,,,,
hirsutus,hirsutus,"Carriker, 1936:150",,,,,,,,
spinosus,spinosus,"Carriker, 1936:152",,,,,,,,
alexandermuelleri,alexandermuelleri,"Mey & Curio, 1993b:142",Malaulipeurus,,,,,,,
antennatus,caponis,,,,antennatus,"Hopkins & Clay, 1952:191",,,,
bakeri,caponis,,,,bakeri,"Emerson, 1972a:90",,,,
boonsongi,boonsongi,"Emerson & Elbel, 1957a:237",,,,,,,,
brunneipictus,brunneipictus,"Giebel, 1877:530",Nirmus,,,,,,,
caponis,caponis,"L., 1758:614",Pediculus,,,,,,,
caponis borcherti,caponis,,,,,,caponis borcherti,"Eichler, 1953d:556 ",,
charltonii,charltonii,"Clay, 1938b:123",,,,,,,,
crassus,crassus,"Rudow, 1869b:31",,,,,,,,
crinitus,crinitus,"Rudow, 1869b:19",Nirmus,,,,,,,
deignani,deignani,"Emerson & Elbel, 1957a:237",,,,,,,,
dekkeri,dekkeri,"Mey, 1999:130",Malaulipeurus,,,,,,,
delta,delta,"Kellogg, 1908:45",,,,,,,,
differens,differens,"Piaget, 1885:76",,,,,,,,
dovei,caponis,,,,dovei,"Emerson, 1972a:90",,,,
elongatus,unidentifiable,,,,elongatus,"Hopkins & Clay, 1952:193",,,,
epsilon,epsilon,"Kellogg, 1908:45",,,,,,,,
eurycnemis,eurycnemis,"Taschenberg, 1882:171",,,,,,,,
falcicornis,unidentifiable,,,,falcicornis,"Hopkins & Clay, 1952:193",,,,
fimbriatus,fimbriatus,"Clay, 1938b:124",,,,,,,,
fradei,fradei,"Tendeiro, 1954a:119",,,,,,,,
gracilis,unidentifiable,,,,gracilis,"Hopkins & Clay, 1952:194",,,,
hamatus,hamatus,"Piaget, 1885:77",,,,,,,,
intermedius,brunneipictus,,,,intermedius,"Hopkins & Clay, 1952:195",,,,
introductus,introductus,"Kellogg, 1896b:500",,,,,,,,
jonesi,jonesi,"Mey, 1999:127",Megathellipeurus,,,,,,,
keleri,keleri,"Clay, 1938b:122",,,,,,,,
latifasciatus,latifasciatus,"Piaget, 1890a:240",,,,,,,,
lawrensis,lawrensis,"Bedford, 1929:521",,,,,,,,
lewisi,lewisi,"Elbel & Price, 1970:238",,,,,,,,
linearis,unidentifiable,,,,linearis,"Nitzsch [In Giebel], 1866:384 ",,,,
lineatus,linearis,,,,lineatus,"Hopkins & Clay, 1952:195",,,,
lineatus,caponis,,,,lineatus,"Hopkins & Clay, 1952:195",,,,
maculosus,maculosus,"Clay, 1938b:116",,,,,,,,
meyeri,meyeri,"Taschenberg, 1882:175",,,,,,,,
moluccensis,moluccensis,"Mey, 1999:132",Malaulipeurus,,,,,,,
namalaius,namalaius,"Mey, 1999:132",Malaulipeurus,,,,,,,
nodosus,nodosus,"Mey, 1982d:241",Lipeuroides,,,,,,,
numidae,numidae,"Denny, 1842:48",Nirmus,,,,,,,
numidianus,numidae,,,,numidianus,"Hopkins & Clay, 1952:197",,,,
palauensis,palauensis,"Mey, 1999:131",Malaulipeurus,,,,,,,
parkeri,parkeri,"Emerson & Price, 1986b:353",,,,,,,,
parumsetosus,parumsetosus,"Piaget, 1880:676",,,,,,,,
pavo,pavo,"Clay, 1938b:125",,,,,,,,
phasidus,phasidus,"Clay, 1938b:129",,,,,,,,
polyplectron,polyplectron,"Clay, 1938b:117",,,,,,,,
raymondi,raymondi,"Clay, 1938b:128",,,,,,,,
rheinardia,rheinardia,"Clay, 1938b:117",,,,,,,,
sagittiformis,unidentifiable,,,,sagittiformis,"Hopkins & Clay, 1952:198",,,,
sarissa,sarissa,"Clay, 1938b:114",,,,,,,,
schoutedeni,schoutedeni,"Clay, 1938a:4",,,,,,,,
sejugatus,parkeri,,Megathellipeurus,,sejugatus,,,,,
sellatus,introductus,,Nirmus,,sellatus,"Hopkins & Clay, 1952:199",,,,
silvai,silvai,"Kéler, 1952c:56",,,,,,,,
silvai pallasii,silvai,,,,,,silvai pallasii,"Tendeiro, 1954a:126 ",,
sinuatus,sinuatus,"Taschenberg, 1882:180",,,,,,,,
subsellatus,introductus,,Degeeriella,,subsellatus,"Hopkins & Clay, 1952:199",,,,
talautensis,talautensis,"Mey, 1999:134",Malaulipeurus,,,,,,,
tesselatus,caponis,,Nirmus,,tesselatus,"Hopkins & Clay, 1952:200",,,,
tropicalis,tropicalis,"Peters, 1931b:195",,,,,,,,
tsade,tsade,"Piaget, 1890a:241",,,,,,,,
uncinatus,parumsetosus,,,,uncinatus,"Hopkins & Clay, 1952:200",,,,
variabilis,caponis,,,,variabilis,"Hopkins & Clay, 1952:200",,,,
variabilis alpha,caponis,,,,,,variabilis alpha,"Kellogg, 1908:45 ",,
variabilis beta,caponis,,,,,,variabilis beta,"Kellogg, 1908:45 ",,
variabilis eta,introductus,,,,,,variabilis eta,"Kellogg, 1908:45 ",,
variabilis formosanus,caponis,,,,,,variabilis formosanus,"Sugimoto, 1929:53 ",,
variabilis gamma,caponis,,,,,,variabilis gamma,"Kellogg, 1908:45 ",,
actophilus,actophilus,"Kellogg & Chapman, 1899:78",Nirmus,,,,,,,
bicolor,holophaeus,,Nirmus,,bicolor,"Emerson, 1972a:93",,,,
cabanisi,cabanisi,"Timmer., 1954b:625",,,,,,,,
clayae,clayae,"Timmer., 1954b:629",,,,,,,,
drosti,drosti,"Timmer., 1954b:627",,,,,,,,
falcinellus,falcinellus,"Timmer., 1954b:627",,,,,,,,
haematopi,haematopi,"Timmer., 1954b:635",,,,,,,,
holophaeus,holophaeus,"Burm., 1838:427",Nirmus,,,,,,,
husainii,incoenis,,,,husainii,"Ledger, 1980:168",,,,
inaequalis,numenii numenii,,Nirmus,,inaequalis,"Hopkins & Clay, 1952:201",,,,
incoenis,incoenis,"Kellogg & Chapman, 1899:81",Nirmus,,,,,,,
limosella,limosella,"Timmer., 1954b:629",,,,,,,,
limosella limosae,limosella,,,,,,limosella limosae,"Bechet, 1968:127 ",,
nereis,nereis,"Timmer., 1954b:628",,,,,,,,
numenii hopkinsi,,,,,,,,,numenii hopkinsi,"Timmer., 1954b:634"
numenii lissmanni,,,,,,,,,numenii lissmanni,"Timmer., 1954b:634"
numenii numenii,,,Nirmus,,,,,,numenii numenii,"Denny, 1842:53"
numenii oliveri,,,Degeeriella,,,,,,numenii oliveri,"Johnston & Harrison, 1912c:367"
numenii phaeopi,,,Nirmus,,,,,,numenii phaeopi,"Denny, 1842:54"
numenii proximus,,,Degeeriella,,,,,,numenii proximus,"Blagov., 1948:279"
numenii rileyi,,,,,,,,,numenii rileyi,"Timmer., 1954b:635"
parabolicus,parabolicus,"Eichler, 1953c:270",,,,,,,,
paschalis,paschalis,"Timmer., 1954b:630",,,,,,,,
phaeopodis,numenii,,Nirmus,,phaeopodis,,,,,
phaeopi,phaeopi,"REF: Hopkins & Clay, 1952:202",,,,,,,,
pusillus,cabanisi,,,,pusillus,,,,,
timmermanni,timmermanni,"Bechet, 1968:126",,,,,,,,
trimaculatus,numenii,,Nirmus,,trimaculatus,,,,,
phaeopi,phaeopi,"REF: Timmer., 1954b:631",,,,,,,,
wilsoni,wilsoni,"Carriker, 1956b:76",,,,,,,,
emarginatus,emarginatus,"Carriker, 1936:98",,,,,,,,
emarginatus caquetensis,emarginatus,,,,,,emarginatus caquetensis,"Carriker, 1955a:14 ",,
