type_host,host_species,host_auth,host_order,host_family,invalid_host,host_ref,family,generic,genus,genus_ref,genus_type,genus_type_ref,specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref,genus_syn,genus_syn_ref,genus_new_syn
*,Caprimulgus asiaticus asiaticus,Latham ,Caprimulg.,Caprimulg.,,,PHILOPTERIDAE,Mulcticola,Mulcticola,"Clay & Meinertzhagen, 1938b:279",Nirmus hypoleucus,Denny,minutus,minutus,"Emerson & Elbel, 1957c:422",,,,,,,,,,,
*,Podager nacunda minor,Cory ,Caprimulg.,Caprimulg.,,,PHILOPTERIDAE,Mulcticola,Mulcticola,"Clay & Meinertzhagen, 1938b:279",Nirmus hypoleucus,Denny,nacunda,nacunda,"Carriker, 1945b:173",,,,,,,,,,,
*,Buteo magnirostris occidua,,,,? host,"Hopkins & Clay, 1952:227",PHILOPTERIDAE,Mulcticola,Mulcticola,"Clay & Meinertzhagen, 1938b:279",Nirmus hypoleucus,Denny,nacunda peruvianus,nacunda,,,,,,nacunda peruvianus,"Carriker, 1945b:174 ",,,,,
*,Caprimulgus monticolus monticolus,Franklin ,Caprimulg.,Caprimulg.,,,PHILOPTERIDAE,Mulcticola,Mulcticola,"Clay & Meinertzhagen, 1938b:279",Nirmus hypoleucus,Denny,orientalis,orientalis,"Tendeiro, 1962a:370",,,,,,,,,,,
*,Caprimulgus pectoralis,Cuvier ,Caprimulg.,Caprimulg.,,,PHILOPTERIDAE,Mulcticola,Mulcticola,"Clay & Meinertzhagen, 1938b:279",Nirmus hypoleucus,Denny,pectoralis,pectoralis,"Tendeiro, 1962a:366",,,,,,,,,,,
*,Scotornis climacurus,Vieillot) ,Caprimulg.,Caprimulg.,,,PHILOPTERIDAE,Mulcticola,Mulcticola,"Clay & Meinertzhagen, 1938b:279",Nirmus hypoleucus,Denny,scotornis,scotornis,"Tendeiro, 1962a:358",,,,,,,,,,,
*,Podager nacunda nacunda,Vieillot) ,Caprimulg.,Caprimulg.,,,PHILOPTERIDAE,Mulcticola,Mulcticola,"Clay & Meinertzhagen, 1938b:279",Nirmus hypoleucus,Denny,tenuiceps,tenuiceps,"Carriker, 1945b:177",,,,,,,,,,,
*,Tyrannus sp,,,,? host,"Hopkins & Clay, 1952:248",PHILOPTERIDAE,Mulcticola,Mulcticola,"Clay & Meinertzhagen, 1938b:279",Nirmus hypoleucus,Denny,tyrannus,macrocephalus,,Nirmus,,tyrannus,"Hopkins & Clay, 1952:248",,,,,,,
*,Macrodipteryx vexillarius,Gould) ,Caprimulg.,Caprimulg.,,,PHILOPTERIDAE,Mulcticola,Mulcticola,"Clay & Meinertzhagen, 1938b:279",Nirmus hypoleucus,Denny,vexillarius,vexillarius,"Tendeiro, 1962a:348",,,,,,,,,,,
*,Caprimulgus inornatus,Heuglin ,Caprimulg.,Caprimulg.,,,PHILOPTERIDAE,Mulcticola,Mulcticola,"Clay & Meinertzhagen, 1938b:279",Nirmus hypoleucus,Denny,wolffi,wolffi,"Tendeiro, 1961b:129",,,,,,,,,,,
*,Monias benschi,Oustalet & Grandidier ,Gru.,Mesitornith.,,,PHILOPTERIDAE,Nakicola,Nakicola,"Mey, 1993b:148",Nakicola madagascarinus,Mey,madagascarinus,madagascarinus,"Mey, 1993b:154",,,,,,,,,,,
*,Mesitornis variegata,Geoffroy St.-Hilaire) ,Gru.,Mesitornith.,,,PHILOPTERIDAE,Nakicola,Nakicola,"Mey, 1993b:148",Nakicola madagascarinus,Mey,mesitinus,mesitinus,"Mey, 1993b:156",,,,,,,,,,,
*,Halobaena caerulea,Gmelin) ,Procellari.,Procellari.,,,PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,clypeatus,clypeatus,"Giebel, 1874:236",Lipeurus,Guenterion,,,,,,,,,
,Pterodroma arminjoniana,Giglioli & Salvadori) ,Procellari.,Procellari.,,"Palma & Pilgrim, 2002:42",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,damma,damma,"Timmer., 1961d:185 ",,Guenterion,,,,,,,,,
,Pterodroma cervicalis,Salvin) ,Procellari.,Procellari.,,"Palma & Pilgrim, 2002:44",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,damma,damma,"Timmer., 1961d:185 ",,Guenterion,,,,,,,,,
,Pterodroma cookii,Gray) ,Procellari.,Procellari.,,"Pilgrim & Palma, 1982:9",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,damma,damma,"Timmer., 1961d:185 ",,Guenterion,,,,,,,,,
,Pterodroma externa,Salvin) ,Procellari.,Procellari.,,"Amerson & Emerson, 1971:24",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,damma,damma,"Timmer., 1961d:185 ",,Guenterion,,,,,,,,,
,Pterodroma hypoleuca,Salvin),Procellari.,Procellari.,,,PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,damma,damma,"Timmer., 1961d:185 ",,Guenterion,,,,,,,,,
*,Pterodroma leucoptera,Gould),Procellari.,Procellari.,,,PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,damma,damma,"Timmer., 1961d:185 ",,Guenterion,,,,,,,,,
,Pterodroma phaeopygia,Salvin) ,Procellari.,Procellari.,,"Palma & Pilgrim, 2002:44",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,damma,damma,"Timmer., 1961d:185 ",,Guenterion,,,,,,,,,
*,Diomedea exulans,,,,? host,"Palma & Pilgrim, 2002:12",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,fuliginosus,fuliginosus,"Taschenberg, 1882:156",Lipeurus,Naubates,,,,,,,,,
,Procellaria aequinoctialis,L. ,Procellari.,Procellari.,,"Clay & Moreby, 1970:218",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,fuliginosus,fuliginosus,"Taschenberg, 1882:156",Lipeurus,Naubates,,,,,,,,,
,Procellaria cinerea,Gmelin ,Procellari.,Procellari.,,"Emerson, 1972a:97",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,fuliginosus,fuliginosus,"Taschenberg, 1882:156",Lipeurus,Naubates,,,,,,,,,
,Procellaria parkinsoni,Gray ,Procellari.,Procellari.,,"Pilgrim & Palma, 1982:11",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,fuliginosus,fuliginosus,"Taschenberg, 1882:156",Lipeurus,Naubates,,,,,,,,,
,Procellaria westlandica,Falla ,Procellari.,Procellari.,,"Pilgrim & Palma, 1982:11",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,fuliginosus,fuliginosus,"Taschenberg, 1882:156",Lipeurus,Naubates,,,,,,,,,
*,Puffinus creatopus,Coues ,Procellari.,Procellari.,,,PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,fuliginosus major,harrisoni,,Lipeurus,,,,fuliginosus major,"Kellogg & Chapman, 1899:101",,,,,
*,Puffinus opisthomelas,Coues,Procellari.,Procellari.,,,PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,fuliginosus major,harrisoni,,Lipeurus,,,,fuliginosus major,"Kellogg & Chapman, 1899:101",,,,,
,Puffinus assimilis,Gould ,Procellari.,Procellari.,,"Palma & Barker, 1996:192",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,harrisoni,harrisoni,"Bedford, 1930:168 ",,Naubates,,,,,,,,,
,Puffinus bulleri,Salvin ,Procellari.,Procellari.,,"Emerson, 1972a:98",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,harrisoni,harrisoni,"Bedford, 1930:168 ",,Naubates,,,,,,,,,
,Puffinus carneipes,Gould ,Procellari.,Procellari.,,"Emerson, 1972a:98",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,harrisoni,harrisoni,"Bedford, 1930:168 ",,Naubates,,,,,,,,,
,Puffinus creatopus,Coues ,Procellari.,Procellari.,,"Emerson, 1972a:98",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,harrisoni,harrisoni,"Bedford, 1930:168 ",,Naubates,,,,,,,,,
*,Puffinus gravis,O'Reilly),Procellari.,Procellari.,,,PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,harrisoni,harrisoni,"Bedford, 1930:168 ",,Naubates,,,,,,,,,
,Puffinus huttoni,Mathews ,Procellari.,Procellari.,,"Pilgrim & Palma, 1982:12",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,harrisoni,harrisoni,"Bedford, 1930:168 ",,Naubates,,,,,,,,,
,Puffinus lherminieri,Lesson ,Procellari.,Procellari.,,"Palma & Pilgrim, 2002:24",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,harrisoni,harrisoni,"Bedford, 1930:168 ",,Naubates,,,,,,,,,
,Puffinus nativitatis,Streets ,Procellari.,Procellari.,,"Amerson & Emerson, 1971:24",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,harrisoni,harrisoni,"Bedford, 1930:168 ",,Naubates,,,,,,,,,
,Puffinus opisthomelas,Coues ,Procellari.,Procellari.,,"Emerson, 1972a:98",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,harrisoni,harrisoni,"Bedford, 1930:168 ",,Naubates,,,,,,,,,
,Puffinus pacificus,Gmelin) ,Procellari.,Procellari.,,"Amerson & Emerson, 1971:6",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,harrisoni,harrisoni,"Bedford, 1930:168 ",,Naubates,,,,,,,,,
,Puffinus puffinus puffinus,Brünnich) ,Procellari.,Procellari.,,"Fowler & Furness, 1987:50",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,harrisoni,harrisoni,"Bedford, 1930:168 ",,Naubates,,,,,,,,,
,Puffinus tenuirostris,Temminck) ,Procellari.,Procellari.,,"Palma & Pilgrim, 2002:22",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,harrisoni,harrisoni,"Bedford, 1930:168 ",,Naubates,,,,,,,,,
*,Pterodroma macroptera,Smith) ,Procellari.,Procellari.,,,PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,heteroproctus,heteroproctus,"Harrison, 1937:30 ",,Guenterion,,,,,,,,,
*,Pterodroma lessonii,Garnot) ,Procellari.,Procellari.,,,PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,lessonii,lessonii,"Palma & Pilgrim, 2002:50 ",,Guenterion,,,,,,,,,
,Pachyptila belcheri,Mathews) ,Procellari.,Procellari.,,"Pilgrim & Palma, 1982:10",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,prioni,prioni,"Enderlein, 1909b:454",Lipeurus,Guenterion,,,,,,,,,
,Pachyptila crassirostris,Mathews) ,Procellari.,Procellari.,,"Timmer., 1961d:187",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,prioni,prioni,"Enderlein, 1909b:454",Lipeurus,Guenterion,,,,,,,,,
*,Pachyptila desolata,Gmelin),Procellari.,Procellari.,,,PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,prioni,prioni,"Enderlein, 1909b:454",Lipeurus,Guenterion,,,,,,,,,
,Pachyptila salvini,Mathews) ,Procellari.,Procellari.,,"Pilgrim & Palma, 1982:10",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,prioni,prioni,"Enderlein, 1909b:454",Lipeurus,Guenterion,,,,,,,,,
,Pachyptila turtur,Kuhl) ,Procellari.,Procellari.,,"Horning, Palma & Pilgrim, 1980:10",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,prioni,prioni,"Enderlein, 1909b:454",Lipeurus,Guenterion,,,,,,,,,
,Pachyptila vittata,Forster) ,Procellari.,Procellari.,,"Timmer., 1961d:187",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,prioni,prioni,"Enderlein, 1909b:454",Lipeurus,Guenterion,,,,,,,,,
,Pterodroma feae,Salvadori) ,Procellari.,Procellari.,,"Palma & Pilgrim, 2002:46",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,pterodromi,pterodromi,"Bedford, 1930:170 ",,Guenterion,,,,,,,,,
*,Pterodroma incerta,Schlegel),Procellari.,Procellari.,,,PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,pterodromi,pterodromi,"Bedford, 1930:170 ",,Guenterion,,,,,,,,,
,Pterodroma inexpectata,Forster) ,Procellari.,Procellari.,,"Emerson, 1972a:98",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,pterodromi,pterodromi,"Bedford, 1930:170 ",,Guenterion,,,,,,,,,
,Pterodroma mollis,Gould) ,Procellari.,Procellari.,,"Timmer., 1961d:183",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,pterodromi,pterodromi,"Bedford, 1930:170 ",,Guenterion,,,,,,,,,
*,Daption capense,,,,? host,"Harrison, 1916:142",PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,testaceus,fuliginosus,,Lipeurus,,testaceus,"Harrison, 1916:142",,,,,,,
*,Pterodroma solandri,Gould) ,Procellari.,Procellari.,,,PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,thieli,thieli,"Timmer., 1965:121 ",,Naubates,,,,,,,,,
*,Pterodroma ultima,Murphy ,Procellari.,Procellari.,,,PHILOPTERIDAE,Naubates,Naubates,"Bedford, 1930:167",Lipeurus fuliginosus,Taschenberg,ultimae,ultimae,"Palma & Pilgrim, 2002:54 ",,Guenterion,,,,,,,,,
*,Ciconia abdimii,Lichtenstein ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,abdimius,abdimius,"Bedford, 1929:524",,,,,,,,,,,
*,Anastomus oscitans,Boddaert) ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,completus,completus,"Nitzsch [In Giebel], 1866:361",Docophorus,,,,,,,,,,
*,Ciconia episcopus microscelis,Gray ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,episcopi,episcopi,"Kellogg, 1910a:44",Docophorus,,,,,,,,,,
*,Mycteria americana,L. ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,heteropygus,heteropygus,"Nitzsch [In Giebel], 1874:99",Docophorus,,,,,,,,,,
*,Ephippiorhynchus asiaticus australis,Shaw) ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,horridus,horridus,"Giebel, 1876a:249",Docophorus,,,,,,,,,,
*,Ciconia ciconia,L.) ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,incompletus,incompletus,"Denny, 1842:47",Docophorus,,,,,,,,,,
*,Mycteria cinerea,Raffles) ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,indicus,indicus,"Piaget, 1880:98",Docophorus,,,,,,,,,,
*,Ephippiorhynchus mycteria,Lichtenstein) ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,jabiraui,jabiraui,"Carriker {& Diaz-Ungria}, 1961:52",,,,,,,,,,,
*,Balaeniceps rex,,,,? host,"Ledger, 1980:118",PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,koenigi,platyclypeatus,,Abumarkub,,koenigi,"Ledger, 1980:118",,,,,,,
*,Ajaia ajaia,,,,? host,"Hopkins & Clay, 1952:236",PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,orfilai,subincompletus,,,,orfilai,"Hopkins & Clay, 1952:236",,,,,,,
*,Mycteria leucocephala,Pennant) ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,phillipsi,phillipsi,"Hajela, 1970:22",,,,,,,,,,,
*,Anastomus lamelligerus,Temminck ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,platyclypeatus,platyclypeatus,"Piaget, 1871:132",Docophorus,,,,,,,,,,
*,Mycteria ibis,L.) ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,sarae,sarae,"Tendeiro, 1958d:165",,,,,,,,,,,
*,Ciconia maguari,Gmelin) ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,subincompletus,subincompletus,"Nitzsch [In Giebel], 1866:361",Docophorus,,,,,,,,,,
*,Mycteria americana,L. ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,travassosi,heteropygus,,,,travassosi,"Hopkins & Clay, 1952:237",,,,,,,
*,Ciconia nigra,L.) ,Ciconi.,Ciconi.,,,PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,tricolor,tricolor,"Burm., 1838:424",Docophorus,,,,,,,,,,
*,Polyborus vulgaris,,,,? host,"Hopkins & Clay, 1952:237",PHILOPTERIDAE,Neophilopterus,Neophilopterus,"Cummings, 1916b:660",Docophorus tricolor,Burm.,unifasciatus,unifasciatus,"Piaget, 1885:13",Docophorus,,,,,,,,,,
*,Poicephalus meyeri,Cretzschmar) ,Psittac.,Psittac.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,abnormis,abnormis,"Guimarães, 1974b:172",,,,,,,,,,,
*,Poicephalus cryptoxanthus cryptoxanthus,Peters) ,Psittac.,Psittac.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,africanus,africanus,"Guimarães, 1974b:178",,,,,,,,,,,
,Poicephalus gulielmi,Jardine) ,Psittac.,Psittac.,,"Guimarães, 1974b:181",PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,africanus,africanus,"Guimarães, 1974b:178",,,,,,,,,,,
,Poicephalus meyeri,Cretzschmar) ,Psittac.,Psittac.,,"Guimarães, 1974b:181",PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,africanus,africanus,"Guimarães, 1974b:178",,,,,,,,,,,
,Poicephalus rufiventris,Rüppell) ,Psittac.,Psittac.,,"Guimarães, 1974b:181",PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,africanus,africanus,"Guimarães, 1974b:178",,,,,,,,,,,
*,Coracopsis vasa,Shaw) ,Psittac.,Psittac.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,albidus,albidus,"Piaget, 1880:300",Lipeurus,,,,,,,,,,
*,Cacatua galerita,Latham) ,Psittac.,Cacatu.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,albus,albus,"Le Souëf & Bullen, 1902a:157",Lipeurus,,,,,,,,,,
*,Tanygnathus megalorhynchos megalorhynchos,Boddaert) ,Psittac.,Psittac.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,andrettae,andrettae,"Guimarães, 1974b:147",,,,,,,,,,,
*,Psittrichas fulgidus,Lesson) ,Psittac.,Psittac.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,anodis,anodis,"Neumann, 1891:86",Lipeurus,,,,,,,,,,
*,Calyptorhynchus funereus,Shaw) ,Psittac.,Cacatu.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,borgiolii,borgiolii,"Conci, 1942b:38",,,,,,,,,,,
*,Cacatua sulphurea,Gmelin) ,Psittac.,Cacatu.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,capreolus,capreolus,"Gervais, 1844:353",Philopterus,,,,,,,,,,
*,Psittacula eupatria nipalensis,Hodgson) ,Psittac.,Psittac.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,chandabani,chandabani,"Ansari, 1947:273",Psittaconirmus,,,,,,,,,,
,Alisterus chloropterus,Ramsay) ,Psittac.,Psittac.,,"Guimarães, 1974b:135",PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,circumfasciatus,circumfasciatus,"Piaget, 1880:301",Lipeurus,,,,,,,,,,
,Alisterus scapularis,Lichtenstein) ,Psittac.,Psittac.,,"Guimarães, 1974b:135",PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,circumfasciatus,circumfasciatus,"Piaget, 1880:301",Lipeurus,,,,,,,,,,
,Barnardius zonarius,Shaw) ,Psittac.,Psittac.,,"Palma & Barker, 1996:194",PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,circumfasciatus,circumfasciatus,"Piaget, 1880:301",Lipeurus,,,,,,,,,,
,Platycercus caledonicus,Gmelin) ,Psittac.,Psittac.,,"Green & Palma, 1991:16",PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,circumfasciatus,circumfasciatus,"Piaget, 1880:301",Lipeurus,,,,,,,,,,
,Platycercus elegans,Gmelin) ,Psittac.,Psittac.,,"Palma & Barker, 1996:194",PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,circumfasciatus,circumfasciatus,"Piaget, 1880:301",Lipeurus,,,,,,,,,,
*,Polytelis anthopeplus,Lear)  ? host ,,,,"Guimarães, 1974b:132",PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,circumfasciatus,circumfasciatus,"Piaget, 1880:301",Lipeurus,,,,,,,,,,
*,Eclectus roratus pectoralis,Müller) ,Psittac.,Psittac.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,circumfasciatus,interruptofasciatus,,Lipeurus,,circumfasciatus,"Hopkins & Clay, 1952:237",,,,,,,
,Probosciger aterrimus,Gmelin) ,Psittac.,Cacatu.,,"Guimarães, 1974b:146",PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,clayae,clayae,"Guimarães, 1974b:143",,,,,,,,,,,
*,Probosciger aterrimus stenolophus,van Oort),Psittac.,Cacatu.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,clayae,clayae,"Guimarães, 1974b:143",,,,,,,,,,,
*,Psittacula alexandri fasciata,Müller) ,Psittac.,Psittac.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,difficilis,difficilis,"Guimarães, 1974b:141",,,,,,,,,,,
*,Psittacula eupatria siamensis,Kloss) ,Psittac.,Psittac.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,elbeli,elbeli,"Guimarães, 1974b:159",,,,,,,,,,,
*,Cacatua haematuropygia,Müller) ,Psittac.,Cacatu.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,emersoni,emersoni,"Guimarães, 1974b:161",,,,,,,,,,,
,Cacatua sanguinea,Gould ,Psittac.,Cacatu.,,"Palma & Barker, 1996:194",PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,eos,eos,"Giebel, 1874:181",Nirmus,,,,,,,,,,
*,Eolophus roseicapillus,Vieillot) ,Psittac.,Cacatu.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,eos,eos,"Giebel, 1874:181",Nirmus,,,,,,,,,,
*,Lorius sp,,Psittac.,Lori.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,femoratus,femoratus,"Piaget, 1880:675",Lipeurus,,,,,,,,,,
*,Agapornis personata,Reichenow ,Psittac.,Psittac.,,,PHILOPTERIDAE,Neopsittaconirmus,Neopsittaconirmus,"Conci, 1942b:37",Neopsittaconirmus borgiolii,Conci,gracilis,gracilis,"Guimarães, 1974b:165",,,,,,,,,,,
