generic,genus,genus_ref,genus_type,genus_type_ref,genus_syn,genus_syn_ref,genus_new_syn,subgenus,subgenus_ref,subgenus_type,subgenus_type_ref
Pectinopygus,Pectinopygus,"Mjöberg, 1910b:95",Lipeurus pullatus,Nitzsch,,,,,,,
Pelmatocerandra,Pelmatocerandra,"Enderlein, 1909b:449",Nirmus setosus,Giebel,,,,,,,
Penenirmus,Penenirmus,"Clay & Meinertzhagen, 1938a:73",Pediculus albiventris,Scopoli,,,,,,,
Perineus,Perineus,"Thompson, 1936:41",Lipeurus nigrolimbatus,Giebel,,,,,,,
Quadraceps,Quadraceps,,Peripetasma altoasiaticum,"Timmer., 1954d:167 ",Peripetasma,"Hopkins & Clay, 1955:185",,,,,
Wilsoniella,Wilsoniella,,Lipeurus absitus,"Guimarães, 1940b:300 ",Pessoaiella,"Hopkins & Clay, 1952:278",,,,,
Neopsittaconirmus,Neopsittaconirmus,,Lipeurus circumfasciatus,"Eichler, 1943b:114 ",Pflegeriella,"Hopkins & Clay, 1952:278",,,,,
Columbicola,Columbicola,,Phagopterus columbae,"Freire & Duarte, 1944:13 ",Phagopterus,"Hopkins & Clay, 1952:279",,,,,
Pectinopygus,Pectinopygus,,Lipeurus brevicornis,"Thompson, 1935b:150 ",Philichthyophaga,"Clay, 1973:214",,,,,
Philoceanus,Philoceanus,"Kellogg, 1903:87",Philoceanus becki,Kellogg,,,,,,,
Philopterus,Philopterus,"Nitzsch, 1818:288",Pediculus ocellatus,Scopoli,,,,,,,
Physconella,Physconella,"Paine, 1914a:23",Physconella kelloggi,Paine,,,,,,,
Physconelloides,Physconelloides,"Ewing, 1927:94",Physconelloides ceratoceps,Ewing,,,,,,,
Picicola,Picicola,"Clay & Meinertzhagen, 1938a:74",Picicola praeposterus,Clay & Meinertzhagen,,,,,,,
Penenirmus,Penenirmus,,Picophilopterus tuktola,"Ansari, 1947:265 ",Picophilopterus,"Hopkins & Clay, 1952:294",,,,,
Picicola,Picicola,,Esthiopterum quadripustulosum,"Eichler, 1982:84 ",Pittidicola,,New Syn,,,,
Penenirmus,Penenirmus,,Docophorus pari,"Z{l-}otorzycka, 1964b:275 ",Pleurinirmus,"Emerson, 1972a:111",,,,,
Podargoecus,Podargoecus,"Emerson & Price, 1966a:224",Podargoecus papuensis,Emerson & Price,,,,,,,
Quadraceps,Quadraceps,,Nirmus semifissa,"Timmer., 1953b:331 ",Proneptis,"Palma & Barker, 1996:209",,,,,
Brueelia,Brueelia,,Prunellides annae,"Z{l-}otorzycka & Eichler, 1984:219 ",Prunellides,,New Syn,,,,
Pseudocophorus,Pseudocophorus,"Carriker, 1940:281",Pseudocophorus antennatus,Carriker,,,,,,,
Pseudolipeurus,Pseudolipeurus,"Carriker, 1936:68",Lipeurus tinami,Carriker,,,,,,,
Pseudonirmus,Pseudonirmus,"Mjöberg, 1910b:149",Pseudonirmus charcoti,Neumann,,,,,,,
Pseudophilopterus,Pseudophilopterus,"Carriker, 1936:73",Pseudophilopterus hirsutus,Carriker,,,,,,,
Neopsittaconirmus,Neopsittaconirmus,,Lipeurus kea,"Guimarães, 1942e:80 ",Psittacicola,"Hopkins & Clay, 1952:304",,,,,
Psittoecus,Psittoecus,,Philopterus waterstoni,"Eichler, 1943b:116 ",Psittaciphagus,"Hopkins & Clay, 1952:304",,,,,
Psittaconirmus,Psittaconirmus,"Harrison, 1915a:402",Psittaconirmus australis,Neumann,,,,,,,
Psittoecus,Psittoecus,"Conci, 1942b:40",Philopterus waterstoni,Fresca,,,,,,,
Rallicola,Rallicola,,Lipeurus foedus,"Eichler, 1982:84 ",Psophiicola,,New Syn,,,,
Pterocotes,Pterocotes,"Ewing, 1929:192",Goniodes aberrans,Carriker,,,,,,,
Puffinoecus,Saemundssonia,"Timmer., 1972:104",,,,,,Puffinoecus,"Eichler, 1949b:12 ",Puffinoecus peusi,Eichler
Quadraceps,Quadraceps,"Clay & Meinertzhagen, 1939c:453",Nirmus vanelli,Denny,,,,,,,
Rallicola,Rallicola,"Johnston & Harrison, 1911:324",Nirmus attenuatus,Burm.,,,,,,,
Quadraceps,Quadraceps,,Quadraceps andina,"Eichler, 1954b:52 ",Recurvirostriceps,,New Syn,,,,
Oxylipeurus,Oxylipeurus,,Lipeurus tetraonis,"Kéler, 1958b:332 ",Reticulipeurus,"Ledger, 1980:163",,,,,
Cirrophthirius,Cirrophthirius,,nomen nudum,"Eichler, 1952c:77 ",Rhombiceps,"Hopkins & Clay, 1955:179",,,,,
Rhopaloceras,Rhopaloceras,"Taschenberg, 1882:46",Goniodes aliceps,Nitzsch,,,,,,,
Heptapsogaster,Heptapsogaster,,Goniodes sexpunctatus,"Carriker, 1936:127 ",Rhynchothura,"Hopkins & Clay, 1952:323",,,,,
Rhynonirmus,Rhynonirmus,"Thompson, 1935a:281",Lipeurus infuscatus,Osborn,,,,,,,
Sturnidoecus,Sturnidoecus,,Rostrinirmus refractariolus,"Z{l-}otorzycka, 1964b:276 ",Rostrinirmus,"Emerson, 1972a:171",,,,,
Rotundiceps,Rotundiceps,"Edwards, 1952:28",Nirmus cordatus,Osborn,,,,,,,
Saemundssonia,Saemundssonia,"Timmer., 1936:97",Docophorus gonothorax,Giebel,,,,,,,
Fulicoffula,Fulicoffula,,Lipeurus picturatus,"Carriker, 1953a:153 ",Sakoskida,"Hopkins & Clay, 1955:187",,,,,
Campanulotes,Campanulotes,,Goniodes flavus,"Tendeiro, 1971:172 ",Saussurites,"Palma & Barker, 1996:162",,,,,
Cummingsiella,Cummingsiella,,Docophorus ambiguus,"Eichler & Z{l-}otorzycka, 1964:321 ",Scolopaceps,"Emerson, 1972a:55",,,,,
Brueelia,Brueelia,,Serinirmus sexytanum,"Soler Cruz et al., 1987:244 ",Serinirmus,,New Syn,,,,
Osculotes,Osculotes,,Goniocotes curtus,"Eichler, 1940b:97 ",Sikorella,"Hopkins & Clay, 1952:337",,,,,
Goniodes,Goniodes,,Goniodes dispar,"Kéler, 1939b:101 ",Solenodes,"Hopkins & Clay, 1952:337",,,,,
Columbicola,Columbicola,,Soricella streptopeliae,"Clay & Meinertzhagen, 1937:276 ",Soricella,"Hopkins & Clay, 1952:337",,,,,
Brueelia,Brueelia,,Nirmus nebulosus,"Z{l-}otorzycka, 1964b:261 ",Spironirmus,"Ledger, 1980:141",,,,,
Splendoroffula,Splendoroffula,,Splendoroffula theresae,"Kéler, 1958b:309 ",Splendopeurus,,New Syn,,,,
Splendoroffula,Splendoroffula,"Clay & Meinertzhagen, 1941:343",Splendoroffula corythaeolae,Clay & Meinertzhagen,,,,,,,
Goniodes,Goniodes,,Goniocotes gigas,"Kéler, 1939b:124 ",Stenocrotaphus,"Hopkins & Clay, 1952:338",,,,,
Auricotes,Auricotes,,Goniocotes affinis,"Tendeiro, 1969g:495 ",Stephanius,,New Syn,,,,
Fulicoffula,Fulicoffula,,Lipeurus rotundatus,"Eichler, 1940b:100 ",Stresemanniella,"Hopkins & Clay, 1952:338",,,,,
Strigiphilus,Strigiphilus,"Mjöberg, 1910b:132",Docophorus heterocerus,Grube,,,,,,,
Strongylocotes,Strongylocotes,"Taschenberg, 1882:54",Goniodes complanatus,Piaget,,,,,,,
Struthiolipeurus,Struthiolipeurus,"Cummings, 1916b:679",Lipeurus asymmetricus,Piaget,,,,,,,
Sturnidoecus,Sturnidoecus,"Eichler, 1944a:81",Docophorus leontodon,Nitzsch sensu Piaget,,,,,,,
Synnautes,Halipeurus,,,,,,New Syn,Synnautes,"Thompson, 1936:43 ",Lipeurus pelagicus,Denny
Syrrhaptoecus,Syrrhaptoecus,"Waterston, 1928a:337",Syrrhaptoecus uncinosus,Waterston,,,,,,,
Quadraceps,Quadraceps,,Docophorus elongatus,"Eichler, 1944a:81 ",Szidatiella,"Hopkins & Clay, 1952:347",,,,,
Oxylipeurus,Oxylipeurus,,Talegallipeurus tenuis,"Mey, 1982d:242 ",Talegallipeurus,,New Syn,,,,
Ibidoecus,Ibidoecus,,Docophorus bisignatus,"Eichler, 1982:85 ",Tandaniella,,New Syn,,,,
Docophoroides,Docophoroides,,Lipeurus taurus,"Neumann, 1913b:195 ",Taschenbergiella,"Hopkins & Clay, 1952:348",,,,,
Docophoroides,Docophoroides,,Lipeurus taurus,"Neumann, 1906:60 ",Taschenbergius,"Hopkins & Clay, 1952:348",,,,,
Theresiella,Theresiella,"Guimarães, 1971:213",Theresiella hitchcocki,Guimarães,,,,,,,
Philoceanus,Philoceanus,,Lipeurus annuliventris,"Uchida, 1954:109 ",Thompsonia,"Hopkins & Clay, 1955:188",,,,,
Ardeicola,Ardeicola,,Lipeurus ibis,"Eichler, 1982:86 ",Threskardeicola,"Palma & Barker, 1996:156",,,,,
Quadraceps,Quadraceps,,Nirmus phalaropi,"Eichler & Z{l-}otorzycka, 1964:322 ",Timmer.iceps,"Emerson, 1972a:133",,,,,
Heptapsogaster,Heptapsogaster,,Goniocotes rotundatus,"Carriker, 1936:158 ",Tinamicola,"Hopkins & Clay, 1952:348",,,,,
Tinamotaecola,Tinamotaecola,"Carriker, 1944a:86",Tinamotaecola andinae,Carriker,,,,,,,
Trabeculus,Trabeculus,"Rudow, 1866b:466",Trabeculus schillingi,Rudow,,,,,,,
Brueelia,Brueelia,,Traihoriella punjabensis,"Ansari, 1947:290 ",Traihoriella,"Hopkins & Clay, 1952:349",,,,,
Chelopistes,Chelopistes,,Trichodomedea setosa,"Carriker, 1945c:365 ",Trichodomedea,"Hopkins & Clay, 1952:355",,,,,
Trichodopeostus,Trichodopeostus,"Carriker, 1936:137",Trichodopeostus spinosus,Carriker,,,,,,,
Trichophilopterus,Trichophilopterus,"Stobbe, 1913b:105",Trichophilopterus babakotophilus,Stobbe,,,,,,,
Philopterus,Philopterus,,Tritrabeculus goshikidori,"Uchida, 1948:315 ",Tritrabeculus,"Hopkins & Clay, 1952:358",,,,,
Trogoniella,Trogoniella,"Tendeiro, 1960c:133",Trogoniella apaloderma,Tendeiro,,,,,,,
Trogoninirmus,Trogoninirmus,"Eichler, 1944a:82",Nirmus hastiformis,Carriker,,,,,,,
Falcolipeurus,Falcolipeurus,,Trollipeurus eichleri,"Z{l-}otorzycka, 1963b:3 ",Trollipeurus,"Price & Emerson, 1966b:432",,,,,
Brueelia,Brueelia,,Nirmus merulensis,"Eichler, 1951c:41 ",Turdinirmus,"Hopkins & Clay, 1953:446",,,,,
Turnicola,Turnicola,"Clay & Meinertzhagen, 1938b:278",Lipeurus angustissimus,Giebel,,,,,,,
Turturicola,Turturicola,"Clay & Meinertzhagen, 1937:278",Turturicola salimalii,Clay & Meinertzhagen,,,,,,,
Picicola,Picicola,,Nirmus foedus,"Carriker, 1956b:73 ",Tyrannicola,,New Syn,,,,
Strigiphilus,Strigiphilus,,Docophorus rostratus,"Eichler, 1949b:13 ",Tytoniella,"Hopkins & Clay, 1952:360",,,,,
Psittoecus,Psittoecus,,Philopterus waterstoni,"Guimarães, 1942e:87 ",Uncifrons,"Hopkins & Clay, 1952:360",,,,,
Upupicola,Upupicola,"Clay & Meinertzhagen, 1939b:164",Nirmus melanophrys,Nitzsch,,,,,,,
Vernoniella,Vernoniella,,Lipeurus macgregori,"Guimarães, 1936a:221 ",Vernonia,"Hopkins & Clay, 1952:361",,,,,
Vernoniella,Vernoniella,"Guimarães, 1942f:133",Lipeurus macgregori,Kellogg,,,,,,,
Chelopistes,Chelopistes,,Pediculus meleagridis,"Clay, 1941:119 ",Virgula,"Hopkins & Clay, 1952:361",,,,,
Goniodes,Goniodes,,Goniocotes fissus,"Mey, 1997b:33 ",Weelahia,,New Syn,,,,
Wilsoniella,Wilsoniella,"Eichler, 1940b:99",Lipeurus absitus,Kellogg,,,,,,,
Xenopsittaconirmus,Psittaconirmus,"Price & Clayton, 1984:245",,,,,,Xenopsittaconirmus,"Price & Clayton, 1984:245 ",Psittaconirmus kulmani,Price & Clayton
Brueelia,Brueelia,,Nirmus submarginellus,"Eichler, 1949b:13 ",Xobugirado,"Hopkins & Clay, 1952:362",,,,,
Goniodes,Goniodes,,Goniodes chelicornis,"Eichler {& Vasjukova}, 1981b:232 ",Zlotorzyckella,,New Syn,,,,
Ricinus,Ricinus,,Ricinus fringillae,"Hermann, 1804:12 ",Nirmus,"Hopkins & Clay, 1952:239",,,,,
Ricinus,Ricinus,,Liotheum nitidissimum,"Nitzsch, 1818:302 ",Physostomum,"Hopkins & Clay, 1952:291",,,,,
Ricinus,Ricinus,"De Geer, 1778:69",Ricinus fringillae,De Geer,,,,,,,
Trochiliphagus,Trochiliphagus,"Carriker, 1960a:331",Trochiliphagus lazulus,Carriker,,,,,,,
Trochiloecetes,Trochiloecetes,"Paine & Mann, 1913:21",Physostomum prominens,Kellogg & Chapman,,,,,,,
Meganarionoides,Meganarionoides,,Trichodectes congoensis,"Werneck, 1941:478 ",Acondylocephalus,"Hopkins & Clay, 1952:20",,,,,
Felicola,Felicola,,Felicola helogale,"Kéler, 1938d:463 ",Bedfordia,"Lyal, 1985:306",,,,,
Bisonicola,Bovicola,,,,,,New Syn,Bisonicola,"Lyal, 1985:253 ",Bovicola sedecimdecembrii,Eichler
Bovicola,Bovicola,"Ewing, 1929:123",Trichodectes caprae,Gurlt,,,,,,,
Bovicola,Bovicola,,Pediculus bovis,"Bedford, 1929:518 ",Bovidoecus,"Hopkins & Clay, 1952:52",,,,,
Cebidicola,Cebidicola,"Bedford, 1936:52",Trichodectes armatus,Neumann,,,,,,,
Cervicola,Damalinia,"Lyal, 1985:246",,,,,,Cervicola,"Kéler, 1938d:460 ",Trichodectes tibialis,Kéler
Condylocephalus,Procavicola,"Lyal, 1985:246",,,,,,Condylocephalus,"Werneck, 1941:497 ",Procavicola bedfordi,Werneck
Conepaticola,Neotrichodectes,"Lyal, 1985:247",,,,,,Conepaticola,"Lyal, 1985:328 ",Neotrichodectes semistriatus,Emerson & Price
Damalinia,Damalinia,"Mjöberg, 1910b:69",Trichodectes crenelatus,Piaget,,,,,,,
Dasyonyx,Dasyonyx,"Bedford, 1932b:721",Dasyonyx validus,Bedford,,,,,,,
Suricatoecus,Suricatoecus,,Trichodectes vulpis,"Conci, 1942c:140 ",Eichlerella,"Hopkins & Clay, 1952:128",,,,,
Eurytrichodectes,Eurytrichodectes,"Stobbe, 1913b:111",Eurytrichodectes paradoxus,Stobbe,,,,,,,
Eutrichophilus,Eutrichophilus,"Mjöberg, 1910b:71",Eutrichophilus cercolabes,Mjöberg,,,,,,,
Felicola,Felicola,,Felicola helogale,"Kéler, 1939b:11 ",Fastigatosculum,"Lyal, 1985:306",,,,,
Felicola,Felicola,,Trichodectes subrostratus,"Bedford, 1929:519 ",Felicinia,"Hopkins & Clay, 1952:137",,,,,
Felicola,Felicola,"Ewing, 1929:122",Trichodectes subrostratus,Burm.,,,,,,,
Trichodectes,Trichodectes,,Trichodectes galictidis,"Kéler, 1938b:228 ",Galictobius,"Hopkins & Clay, 1952:142",,,,,
Geomydoecus,Geomydoecus,"Ewing, 1929:193",Trichodectes geomydis,Osborn,,,,,,,
Trichodectes,Trichodectes,,unknown,"Kéler, 1938d:464 ",Grisonia,"Lyal, 1985:299",,,,,
Holakartikos,Bovicola,"Lyal, 1985:246",,,,,,Holakartikos,"Kéler, 1938d:461 ",Trichodectes pilosus,Piaget
Jamespattonius,Geomydoecus,"Hellenthal & Price, 1994:451",,,,,,Jamespattonius,"Hellenthal & Price, 1994:451 ",Geomydoecus wardi,Price & Emerson
Lakshminarayanella,Neotrichodectes,"Lyal, 1985:246",,,,,,Lakshminarayanella,"Eichler, 1982:83 ",Trichodectes gastrodes,Cummings
Lepikentron,Bovicola,"Lyal, 1985:246",,,,,,Lepikentron,"Kéler, 1938d:452 ",Trichodectes breviceps,Rudow
Lorisicola,Felicola,,,,,,New Syn,Lorisicola,"Bedford, 1936:51 ",Trichodectes mjoebergi,Stobbe
Lutridia,Lutridia,"Kéler, 1938d:433",Trichodectes exilis,Nitzsch,,,,,,,
Lakshminarayanella,Lakshminarayanella,,Trichodectes gastrodes,"Eichler, 1940a:158 ",Lymeon,"Eichler, 1982:83",,,,,
Cebidicola,Cebidicola,,Trichodectes armatus,"Kéler, 1938d:465 ",Meganarion,"Hopkins & Clay, 1952:205",,,,,
Meganarionoides,Procaviphilus,"Lyal, 1985:246",,,,,,Meganarionoides,"Eichler, 1940a:159 ",Trichodectes colobi,Kellogg
Nasuicola,Neotrichodectes,"Lyal, 1985:246",,,,,,Nasuicola,"Lyal, 1985:327 ",Trichodectes pallidus,Piaget
Neodasyonyx,Dasyonyx,"Lyal, 1985:246",,,,,,Neodasyonyx,"Werneck, 1941:543 ",Dasyonyx transvaalensis,Bedford
Paradoxuroecus,Paradoxuroecus,,Neofelicola aspidorhynchus,"Werneck, 1948:235 ",Neofelicola,"Lyal, 1985:318",,,,,
Neolutridia,Lutridia,,,,,,New Syn,Neolutridia,"Lyal, 1985:289 ",Trichodectes lutrae,Werneck
Neotrichodectes,Neotrichodectes,"Ewing, 1929:194",Trichodectes mephitidis,Packard,,,,,,,
Paradoxuroecus,Felicola,,,,,,New Syn,Paradoxuroecus,"Conci, 1942c:141 ",Paradoxuroecus juccii,Conci
Paradoxuroecus,Paradoxuroecus,,Trichodectes acuticeps,"Werneck, 1948:226 ",Parafelicola,"Lyal, 1985:318",,,,,
Paratrichodectes,Paratrichodectes,"Lyal, 1985:300",Trichodectes ovalis,Bedford,,,,,,,
Stachiella,Stachiella,,Trichodectes potus,"Conci, 1942c:141 ",Potusdia,"Lyal, 1985:301",,,,,
Procavicola,Procavicola,"Bedford, 1932b:711",Trichodectes sternatus,Bedford,,,,,,,
Procaviphilus,Procaviphilus,"Bedford, 1932b:725",Procaviphilus ferrisi,Bedford,,,,,,,
Protelicola,Protelicola,"Bedford, 1932a:354",Protelicola intermedia,Bedford,,,,,,,
Bovicola,Bovicola,,Trichodectes longicornis,"Kéler, 1938d:453 ",Rhabdopedilon,"Hopkins & Clay, 1952:322",,,,,
Spinibovicola,Bovicola,"Lyal, 1985:246",,,,,,Spinibovicola,"Lyal, 1985:253 ",Trichodectes hemitragi,Cummings
Stachiella,Stachiella,"Kéler, 1938d:428",Trichodectes pusillus,Nitzsch,,,,,,,
Suricatoecus,Felicola,"Lyal, 1985:246",,,,,,Suricatoecus,"Bedford, 1932a:354 ",Trichodectes cooleyi,Bedford
Thaelerius,Geomydoecus,"Hellenthal & Price, 1994:451",,,,,,Thaelerius,"Hellenthal & Price, 1994:451 ",Trichodectes thomomyus,McGregor
Thomomydoecus,Thomomydoecus,"Price & Emerson, 1972:464",Geomydoecus jamesbeeri,Price & Emerson,,,,,,,
Tragulicola,Damalinia,,,,,,New Syn,Tragulicola,"Lyal, 1985:255 ",Damalinia traguli,Werneck
Trichodectes,Trichodectes,"Nitzsch, 1818:294",Trichodectes canis,De Geer,,,,,,,
Tricholipeurus,Tricholipeurus,"Bedford, 1929:514",Tricholipeurus aepycerus,Bedford,,,,,,,
Trigonodectes,Neotrichodectes,"Lyal, 1985:246",,,,,,Trigonodectes,"Kéler, 1944:185 ",Trichodectes barbarae,Neumann
Trichodectes,Trichodectes,,Trichodectes pinguis,"Kéler, 1938d:435 ",Ursodectes,"Hopkins & Clay, 1952:361",,,,,
Werneckiella,Bovicola,,,,,,New Syn,Werneckiella,"Eichler, 1940a:160 ",Trichodectes equi,Denny
Werneckodectes,Werneckodectes,"Conci, 1946a:59",Trichodectes ferrisi,Werneck,,,,,,,
Acanthomenopon,Cummingsia,"Timm & Price, 1985:398",,,,,,Acanthomenopon,"Harrison, 1922:156 ",Acanthomenopon horridum,Harrison
Chinchillophaga,Chinchillophaga,"Emerson, 1964c:383",Chinchillophaga clayae,Emerson,,,,,,,
Cummingsia,Cummingsia,"Ferris, 1922:83",Cummingsia maculata,Ferris,,,,,,,
Harrisonia,Harrisonia,"Ferris, 1922:80",Harrisonia uncinata,Ferris,,,,,,,
Hoplomyophilus,Hoplomyophilus,"Méndez, 1967a:287",Hoplomyophilus nativus,Méndez,,,,,,,
Philandesia,Philandesia,"Kellogg & Nakayama, 1914a:198",Philandesia townsendii,Kellogg & Nakayama,,,,,,,
Trimenopon,Trimenopon,"Cummings, 1913:39",Trimenopon echinoderma,Cummings,,,,,,,
rejected name,rejected name,,unknown,"Nitzsch, 1818:296 ",Liotheum,"Bull. Zool.Nomen., 1962:97",,,,,
