generic,genus,genus_ref,genus_type,genus_type_ref,genus_syn,genus_syn_ref,genus_new_syn,subgenus,subgenus_ref,subgenus_type,subgenus_type_ref
Cracimenopon,Amyrsidea,"Scharf & Price, 1977:815",,,,,,Cracimenopon,"Carriker, 1954d:21 ",Cracimenopon mituensis,Carriker
Ctenigogus,Ctenigogus,"Eichler & Z{l-}otorzycka, 1963a:40",Ctenigogus erinaceimorphus,Eichler & Z{l-}otorzycka,,,,,,,
Ctenodennyus,Dennyus,"Ewing, 1930b:9",,,,,,Ctenodennyus,"Ewing, 1930b:9 ",Ctenodennyus spiniger,Ewing
Carrikeria,Carrikeria,,Menacanthus megaspinus,"Conci, 1947:31 ",Ctenomenacanthus,"Hopkins & Clay, 1952:93",,,,,
Osborniella,Osborniella,,Colpocephalum crotophagae,"Eichler, 1952c:76 ",Cuculigogus,"Hopkins & Clay, 1953:437",,,,,
Cuculimenopon,Cuculimenopon,"Price & Emerson, 1975a:429",Cuculimenopon pallidi,Price & Emerson,,,,,,,
Cuculiphilus,Cuculiphilus,"Uchida, 1926:47",Pediculus fasciatus,Scopoli,,,,,,,
Dennyus,Dennyus,"Neumann, 1906:60",Nitzschia burmeisteri,Denny,,,,,,,
Myrsidea,Myrsidea,,Menopon rusticum,"Z{l-}otorzycka, 1964a:171 ",Densidea,"Clay, 1966c:330",,,,,
Desumenopon,Amyrsidea,"Scharf & Price, 1977:815",,,,,,Desumenopon,"Carriker, 1954d:25 ",Amyrsidea praegracilis,Carriker
Actornithophilus,Actornithophilus,,Actornithophilus svobodae,"Balát, 1953:96 ",Diactornithophilus,"Hopkins & Clay, 1955:181",,,,,
Clayia,Clayia,,Diasiella cruzi,"Tendeiro, 1955c:136 ",Diasiella,"Emerson, 1972b:41",,,,,
Dicteisia,Dicteisia,"Bedford, 1939b:151",Menopon triste,Giebel,,,,,,,
Colpocephalum,Colpocephalum,,Colpocephalum spineum,"Eichler, 1944d:60 ",Dimorphiventer,"Hopkins & Clay, 1952:117",,,,,
Myrsidea,Myrsidea,,Eichlerinopon celeripes,"Z{l-}otorzycka, 1964a:179 ",Eichlerinopon,"Clay, 1966c:330",,,,,
Eidmanniella,Eidmanniella,"Kéler, 1938a:81",Menopon brevipalpe,Piaget,,,,,,,
Elbelia,Elbelia,"Price & Emerson, 1975a:427",Elbelia validi,Price & Emerson,,,,,,,
Menacanthus,Menacanthus,,Menopon biseriatum,"Uchida, 1926:30 ",Eomenacanthus,"Hopkins & Clay, 1952:130",,,,,
